container.title,created,doi,title,type,first.author,authors
Visual Neuroscience,2012-03-14,10.1017/s0952523812000107,Deep-sea and pelagic rod visual pigments identified in the mysticete whales,journal-article,BISCHOFF,"NICOLE BISCHOFF, BENJAMIN NICKLE, THOMAS W. CRONIN, STEPHANI VELASQUEZ, JEFFRY I. FASICK"
Antarctic Science,2008-10-10,10.1017/s0954102008001557,Adult male southern elephant seals from King George Island utilize the Weddell Sea,journal-article,Tosh,"C.A. Tosh, H. Bornemann, S. Ramdohr, M. Schröder, T. Martin, A. Carlini, J. Plötz, M.N. Bester"
Bird Conservation International,2022-11-21,10.1017/s0959270922000442,Combining tracking with at-sea surveys to improve occurrence and distribution estimates of two threatened seabirds in Peru,journal-article,Fischer,"Johannes H. Fischer, Samhita Bose, Cynthia Romero, Matt Charteris, Patrick Crowe, Graham C. Parker, Samantha Ray, Kalinka Rexer-huber, Paul M. Sagar, David R. Thompson, Elizabeth Bell, Igor Debski, Javier Quiñones"
Nature Communications,2021-07-27,10.1038/s41467-021-24826-x,Individual environmental niches in mobile organisms,journal-article,Carlson,"Ben S. Carlson, Shay Rotics, Ran Nathan, Martin Wikelski, Walter Jetz"
Nature Communications,2022-02-09,10.1038/s41467-022-27980-y,Perspectives in machine learning for wildlife conservation,journal-article,Tuia,"Devis Tuia, Benjamin Kellenberger, Sara Beery, Blair R. Costelloe, Silvia Zuffi, Benjamin Risse, Alexander Mathis, Mackenzie W. Mathis, Frank van Langevelde, Tilo Burghardt, Roland Kays, Holger Klinck, Martin Wikelski, Iain D. Couzin, Grant van Horn, Margaret C. Crofoot, Charles V. Stewart, Tanya Berger-Wolf"
Nature Ecology &amp; Evolution,2022-06-09,10.1038/s41559-022-01776-1,Compensation for wind drift during raptor migration improves with age through mortality selection,journal-article,Sergio,"Fabrizio Sergio, Jomar M. Barbosa, Alessandro Tanferna, Rafa Silva, Julio Blas, Fernando Hiraldo"
Nature Ecology &amp; Evolution,2022-10-24,10.1038/s41559-022-01866-0,The influence of social cues on timing of animal migrations,journal-article,Oestreich,"William K. Oestreich, Kanoe M. Aiu, Larry B. Crowder, Megan F. McKenna, Andrew M. Berdahl, Briana Abrahms"
Scientific Reports,2017-05-25,10.1038/s41598-017-02854-2,Environmentally driven sexual segregation in a marine top predator,journal-article,Paiva,"Vitor H. Paiva, Justin Pereira, Filipe R. Ceia, Jaime A. Ramos"
Scientific Reports,2018-02-14,10.1038/s41598-018-21608-2,Flexible migratory choices of Cory’s shearwaters are not driven by shifts in prevailing air currents,journal-article,Dell’Ariccia,"Gaia Dell’Ariccia, Simon Benhamou, Maria P. Dias, José P. Granadeiro, Joël Sudre, Paulo Catry, Francesco Bonadonna"
Scientific Reports,2018-02-21,10.1038/s41598-018-21988-5,Continental-scale animal tracking reveals functional movement classes across marine taxa,journal-article,Brodie,"Stephanie Brodie, Elodie J. I. Lédée, Michelle R. Heupel, Russell C. Babcock, Hamish A. Campbell, Daniel C. Gledhill, Xavier Hoenner, Charlie Huveneers, Fabrice R. A. Jaine, Colin A. Simpfendorfer, Matthew D. Taylor, Vinay Udyawer, Robert G. Harcourt"
